Roll_No,Result
1,pass
2,Fail
3,FC
4,SC
5,DIST
6,pass
7,Fail
8,FC
9,SC
10,DIST
11,pass
12,Fail
13,FC
14,SC
15,DIST
16,pass
17,Fail
18,pass
19,Fail
20,FC
21,SC
22,DIST
23,pass
24,Fail
25,FC
26,SC
27,DIST
28,pass
29,pass
30,Fail
31,FC
32,SC
33,DIST
34,pass
35,Fail
36,FC
37,SC
38,DIST
39,pass
40,Fail
41,FC
42,SC
43,DIST
44,pass
45,pass
46,Fail
47,FC
48,SC
49,DIST
50,pass
51,Fail
52,FC
53,SC
54,DIST
55,pass
56,Fail
57,pass
58,Fail
59,FC
60,SC
61,DIST
62,pass
63,Fail
64,FC
65,SC
66,DIST
67,pass
68,Fail
69,FC
70,SC
71,DIST
72,pass
73,Fail
74,pass
75,Fail
76,FC
77,SC
78,DIST
79,pass
80,Fail
81,FC
82,SC
83,DIST
84,pass
85,pass
86,Fail
87,FC
88,SC
89,DIST
90,pass
91,Fail
92,FC
93,SC
94,DIST
95,pass
96,Fail
97,FC
98,SC
99,DIST
100,pass
